"Barter Island LRRS Airport","Barter Island","United States","BTI",70.1340026855,-143.582000732,"America/Anchorage","airport"
"Cape Lisburne LRRS Airport","Cape Lisburne","United States","LUR",68.87509918,-166.1100006,"America/Anchorage","airport"
"Point Lay LRRS Airport","Point Lay","United States","PIZ",69.73290253,-163.0050049,"America/Anchorage","airport"
"Hilo International Airport","Hilo","United States","ITO",19.721399307250977,-155.04800415039062,"Pacific/Honolulu","airport"
"Orlando Executive Airport","Orlando","United States","ORL",28.545499801636,-81.332901000977,"America/New_York","airport"
"Bettles Airport","Bettles","United States","BTT",66.91390228,-151.529007,"America/Anchorage","airport"
"Clear Airport","Clear Mews","United States","Z84",64.301201,-149.119995,"America/Anchorage","airport"
"Indian Mountain LRRS Airport","Indian Mountains","United States","UTO",65.99279785,-153.7039948,"America/Anchorage","airport"
"Fort Yukon Airport","Fort Yukon","United States","FYU",66.57150268554688,-145.25,"America/Anchorage","airport"
"Sparrevohn LRRS Airport","Sparrevohn","United States","SVW",61.09740067,-155.5740051,"America/Anchorage","airport"
"Bryant Army Heliport","Fort Richardson","United States","FRN",61.26639938,-149.6529999,"America/Anchorage","airport"
"Tatalina LRRS Airport","Tatalina","United States","TLJ",62.894401550299996,-155.977005005,"America/Anchorage","airport"
"Cape Romanzof LRRS Airport","Cape Romanzof","United States","CZF",61.78030014,-166.0390015,"America/Anchorage","airport"
"Laurence G Hanscom Field","Bedford","United States","BED",42.47000122,-71.28900146,"America/New_York","airport"
"St Paul Island Airport","St. Paul Island","United States","SNP",57.167301177978516,-170.22000122070312,"America/Anchorage","airport"
"Cape Newenham LRRS Airport","Cape Newenham","United States","EHM",58.646400451699996,-162.06300354,"America/Anchorage","airport"
"St George Airport","Point Barrow","United States","STG",56.578300476100004,-169.662002563,"America/Anchorage","airport"
"Iliamna Airport","Iliamna","United States","ILI",59.75439835,-154.9109955,"America/Anchorage","airport"
"Platinum Airport","Port Moller","United States","PTU",59.01139831542969,-161.82000732421875,"America/Anchorage","airport"
"Big Mountain Airport","Big Mountain","United States","BMX",59.3611984253,-155.259002686,"America/Anchorage","airport"
"Oscoda Wurtsmith Airport","Oscoda","United States","OSC",44.45159912,-83.39409637,"America/New_York","airport"
"Marina Municipal Airport","Fort Ord","United States","OAR",36.68190002,-121.762001,"America/Los_Angeles","airport"
"Sacramento Mather Airport","Sacramento","United States","MHR",38.55390167,-121.2979965,"America/Los_Angeles","airport"
"Bicycle Lake Army Air Field","Fort Irwin","United States","BYS",35.2804985046,-116.629997253,"America/Los_Angeles","airport"
"Twentynine Palms (Self) Airport","Twenty Nine Palms","United States","NXP",34.2961998,-116.1620026,"America/Los_Angeles","airport"
"Fort Smith Regional Airport","Fort Smith","United States","FSM",35.33660125732422,-94.36740112304688,"America/Chicago","airport"
"Merrill Field","Anchorage","United States","MRI",61.2135009765625,-149.843994140625,"America/Anchorage","airport"
"Grants-Milan Municipal Airport","Grants","United States","GNT",35.167301178,-107.902000427,"America/Denver","airport"
"Ponca City Regional Airport","Ponca City","United States","PNC",36.73199844,-97.09980011,"America/Chicago","airport"
"Hunter Army Air Field","Hunter Aaf","United States","SVN",32.00999832,-81.14569855,"America/New_York","airport"
"Grand Forks International Airport","Grand Forks","United States","GFK",47.949299,-97.176102,"America/Chicago","airport"
"Grider Field","Pine Bluff","United States","PBF",34.1730995178,-91.9356002808,"America/Chicago","airport"
"Whiting Field Naval Air Station - North","Milton","United States","NSE",30.7241993,-87.02189636,"America/Chicago","airport"
"Hana Airport","Hana","United States","HNM",20.79560089111328,-156.01400756835938,"Pacific/Honolulu","airport"
"Ernest A. Love Field","Prescott","United States","PRC",34.65449905,-112.4199982,"America/Phoenix","airport"
"Trenton Mercer Airport","Trenton","United States","TTN",40.27669906616211,-74.8134994506836,"America/New_York","airport"
"General Edward Lawrence Logan International Airport","Boston","United States","BOS",42.36429977,-71.00520325,"America/New_York","airport"
"Travis Air Force Base","Fairfield","United States","SUU",38.262699127197,-121.92700195312,"America/Los_Angeles","airport"
"Griffiss International Airport","Rome","United States","RME",43.23379898,-75.40699768,"America/New_York","airport"
"Wendover Airport","Wendover","United States","ENV",40.7187004089,-114.03099823,"America/Denver","airport"
"Mobile Downtown Airport","Mobile","United States","BFM",30.626800537100003,-88.06809997559999,"America/Chicago","airport"
